"RC"|"REGM"|"STØRSTE_LENGDE"|"BRUTTOTONNASJE"|"MOTORKRAFT"|"TM1"|"FANGSTÅR"|"STARTTIDSPUNKT"|"START_LT"|"START_LG"|"SONE"|"KVOTETYPE_KODE"|"KVOTETYPE"|"REDSKAP_FAO"|"REDSKAP_NS"|"REDSKAP"|"REDSKAPSSPESIFIKASJON_KODE"|"REDSKAPSSPESIFIKASJON"|"REDSKAP_PROBLEMER_KODE"|"REDSKAP_PROBLEMER"|"STOPPTIDSPUNKT"|"STOPP_LT"|"STOPP_LG"|"VARIGHET"|"INNSATS"|"SILD_BESTAND_KODE"|"SILD_BESTAND_NS"|"SILD_BESTAND"|"HOVEDART_FAO"|"HOVEDART_NS"|"HOVEDART"|"INT_OMR_GML_START"|"INT_OMR_NY_START"|"INT_OMR_GML_STOPP"|"INT_OMR_NY_STOPP"|"HAV_DYBDE_START"|"HAV_DYBDE_STOPP"|"LOKASJON_START"|"LOKASJON_STOPP"|"TREKK_AVSTAND_METER"|"FANGSTART_FAO"|"FANGSTART_NS"|"FANGSTART"|"RUNDVEKT"|"TM2"|"AVGANG_TIDSPUNKT"|"AVGANG_HAVN_UNLOCODE"|"AVGANG_HAVN"|"AVGANG_KOMMUNE"|"AVGANG_HAVN_LAND"|"AVGANG_AKTIVITET_KODE"|"AVGANG_AKTIVITET"|"AVGANG_INTENDERT_ART_FAO"|"AVGANG_INTENDERT_ART_NS"|"AVGANG_INTENDERT_ART"|"AVGANG_RUNDVEKT_OMBORD"|"TM3"|"ANKOMST_TIDSPUNKT"|"ANKOMST_HAVN_UNLOCODE"|"ANKOMST_HAVN"|"ANKOMST_KOMMUNE"|"ANKOMST_HAVN_LAND"|"ANKOMST_LANDINGSANLEGG"|"ANKOMST_RUNDVEKT_OMBORD"|"ANKOMST_RUNDVEKT_LEVERING"
"RCRC"|"Y 01234X"|23,5|129|650|"DCA"|"2011"|"2011-01-07 14:12:00"|68,471|13,905|"NOR"|1|"Normalt fiske"|"PS"|"11"|"Snurpenot/ringnot"|""|""|0|"Ingen"|"2011-01-07 16:03:00"|68,489|13,926|111|""|"NOR01"|"061101"|"Norsk vårgytende sild"|"HER"|"0611"|"Sild"|"IIa"|"IIa2"|"IIa"|"IIa2"|-178|-174|"0515"|"0515"|2184|"HER"|"0611"|"Sild"|45000|"DEP"|"2011-01-05 08:01:00"|""|""|""|"NORGE"|"STE"|"Steaming"|"HER"|"0611"|"Sild"|0|"POR"|"2011-01-08 22:30:00"|"NOSJH"|""|""|"NORGE"|""|95000|95000
"RCRC"|"Y 01234X"|23,5|129|650|"DCA"|"2011"|"2011-01-07 18:01:00"|68,493|14,198|"NOR"|1|"Normalt fiske"|"PS"|"11"|"Snurpenot/ringnot"|""|""|0|"Ingen"|"2011-01-07 21:07:00"|68,502|14,185|186|""|"NOR01"|"061101"|"Norsk vårgytende sild"|"HER"|"0611"|"Sild"|"IIa"|"IIa2"|"IIa"|"IIa2"|-111|-123|"0046"|"0520"|1136|"HER"|"0611"|"Sild"|50000|"DEP"|"2011-01-05 08:01:00"|""|""|""|"NORGE"|"STE"|"Steaming"|"HER"|"0611"|"Sild"|0|"POR"|"2011-01-08 22:30:00"|"NOSJH"|""|""|"NORGE"|""|95000|95000
