format,level,variable,target,iskey
nmdbioticv1.4,fishstation,serialno,Station,
nmdbioticv1.4,fishstation,nation,Station,
nmdbioticv1.4,fishstation,platform,Station,
nmdbioticv1.4,fishstation,station,Station,
nmdbioticv1.4,fishstation,fixedstation,Station,
nmdbioticv1.4,fishstation,startdate.fishstation,Station,
nmdbioticv1.4,fishstation,starttime,Station,
nmdbioticv1.4,fishstation,stopdate.fishstation,Station,
nmdbioticv1.4,fishstation,stoptime,Station,
nmdbioticv1.4,fishstation,stationtype,Station,
nmdbioticv1.4,fishstation,latitudestart,Station,
nmdbioticv1.4,fishstation,longitudestart,Station,
nmdbioticv1.4,fishstation,latitudeend,Station,
nmdbioticv1.4,fishstation,longitudeend,Station,
nmdbioticv1.4,fishstation,system,Station,
nmdbioticv1.4,fishstation,area,Station,
nmdbioticv1.4,fishstation,location,Station,
nmdbioticv1.4,fishstation,bottomdepthstart,Station,
nmdbioticv1.4,fishstation,bottomdepthstop,Station,
nmdbioticv1.4,fishstation,fishingdepthmax,Station,
nmdbioticv1.4,fishstation,fishingdepthmin,Station,
nmdbioticv1.4,fishstation,fishingdepthmean,Station,
nmdbioticv1.4,fishstation,gearno,Station,
nmdbioticv1.4,fishstation,gear,Station,
nmdbioticv1.4,fishstation,gearcount,Station,
nmdbioticv1.4,fishstation,direction,Station,
nmdbioticv1.4,fishstation,gearspeed,Station,
nmdbioticv1.4,fishstation,startlog,Station,
nmdbioticv1.4,fishstation,stoplog,Station,
nmdbioticv1.4,fishstation,distance,Station,
nmdbioticv1.4,fishstation,gearcondition,Station,
nmdbioticv1.4,fishstation,trawlquality,Station,
nmdbioticv1.4,fishstation,trawlopening,Station,
nmdbioticv1.4,fishstation,trawlopeningsd,Station,
nmdbioticv1.4,fishstation,doorspread,Station,
nmdbioticv1.4,fishstation,doorspreadsd,Station,
nmdbioticv1.4,fishstation,wirelength,Station,
nmdbioticv1.4,fishstation,soaktime,Station,
nmdbioticv1.4,fishstation,tripno,Station,
nmdbioticv1.4,fishstation,fishabundance,Station,
nmdbioticv1.4,fishstation,fishdistribution,Station,
nmdbioticv1.4,fishstation,landingsite,Station,
nmdbioticv1.4,fishstation,fishingground,Station,
nmdbioticv1.4,fishstation,countofvessels,Station,
nmdbioticv1.4,fishstation,dataquality,Station,
nmdbioticv1.4,fishstation,haulvalidity,Station,
nmdbioticv1.4,fishstation,flora,Station,
nmdbioticv1.4,fishstation,vegetationcover,Station,
nmdbioticv1.4,fishstation,visibility,Station,
nmdbioticv1.4,fishstation,flowcount,Station,
nmdbioticv1.4,fishstation,flowconst,Station,
nmdbioticv1.4,fishstation,waterlevel,Station,
nmdbioticv1.4,fishstation,winddirection,Station,
nmdbioticv1.4,fishstation,windspeed,Station,
nmdbioticv1.4,fishstation,clouds,Station,
nmdbioticv1.4,fishstation,sea,Station,
nmdbioticv1.4,fishstation,weather,Station,
nmdbioticv1.4,fishstation,comment,Station,
nmdbioticv1.4,catchsample,species,SpeciesCategory,
nmdbioticv1.4,catchsample,samplenumber,SpeciesCategory,
nmdbioticv1.4,catchsample,noname,SpeciesCategory,
nmdbioticv1.4,catchsample,aphia,SpeciesCategory,
nmdbioticv1.4,catchsample,sampletype,SpeciesCategory,
nmdbioticv1.4,catchsample,group,SpeciesCategory,
nmdbioticv1.4,catchsample,conservation,SpeciesCategory,
nmdbioticv1.4,catchsample,producttype,SpeciesCategory,
nmdbioticv1.4,catchsample,weight,SpeciesCategory,
nmdbioticv1.4,catchsample,volume,SpeciesCategory,
nmdbioticv1.4,catchsample,count,SpeciesCategory,
nmdbioticv1.4,catchsample,abundancecategory,SpeciesCategory,
nmdbioticv1.4,catchsample,sampleproducttype,SpeciesCategory,
nmdbioticv1.4,catchsample,lengthmeasurement,SpeciesCategory,
nmdbioticv1.4,catchsample,lengthsampleweight,SpeciesCategory,
nmdbioticv1.4,catchsample,lengthsamplevolume,SpeciesCategory,
nmdbioticv1.4,catchsample,lengthsamplecount,SpeciesCategory,
nmdbioticv1.4,catchsample,specimensamplecount,SpeciesCategory,
nmdbioticv1.4,catchsample,raisingfactor,SpeciesCategory,
nmdbioticv1.4,catchsample,agingstructure,SpeciesCategory,
nmdbioticv1.4,catchsample,parasite,SpeciesCategory,
nmdbioticv1.4,catchsample,stomach,SpeciesCategory,
nmdbioticv1.4,catchsample,genetics,SpeciesCategory,
nmdbioticv1.4,catchsample,foreignobject,SpeciesCategory,
nmdbioticv1.4,catchsample,comment.catchsample,SpeciesCategory,
