format,level,variable,target,iskey
nmdbioticv1.4,fishstation,serialno,Haul,
nmdbioticv1.4,fishstation,nation,Haul,
nmdbioticv1.4,fishstation,platform,Haul,
nmdbioticv1.4,fishstation,station,Haul,
nmdbioticv1.4,fishstation,fixedstation,Haul,
nmdbioticv1.4,fishstation,startdate.fishstation,Haul,
nmdbioticv1.4,fishstation,starttime,Haul,
nmdbioticv1.4,fishstation,stopdate.fishstation,Haul,
nmdbioticv1.4,fishstation,stoptime,Haul,
nmdbioticv1.4,fishstation,stationtype,Haul,
nmdbioticv1.4,fishstation,latitudestart,Haul,
nmdbioticv1.4,fishstation,longitudestart,Haul,
nmdbioticv1.4,fishstation,latitudeend,Haul,
nmdbioticv1.4,fishstation,longitudeend,Haul,
nmdbioticv1.4,fishstation,system,Haul,
nmdbioticv1.4,fishstation,area,Haul,
nmdbioticv1.4,fishstation,location,Haul,
nmdbioticv1.4,fishstation,bottomdepthstart,Haul,
nmdbioticv1.4,fishstation,bottomdepthstop,Haul,
nmdbioticv1.4,fishstation,fishingdepthmax,Haul,
nmdbioticv1.4,fishstation,fishingdepthmin,Haul,
nmdbioticv1.4,fishstation,fishingdepthmean,Haul,
nmdbioticv1.4,fishstation,gearno,Haul,
nmdbioticv1.4,fishstation,gear,Haul,
nmdbioticv1.4,fishstation,gearcount,Haul,
nmdbioticv1.4,fishstation,direction,Haul,
nmdbioticv1.4,fishstation,gearspeed,Haul,
nmdbioticv1.4,fishstation,startlog,Haul,
nmdbioticv1.4,fishstation,stoplog,Haul,
nmdbioticv1.4,fishstation,distance,Haul,
nmdbioticv1.4,fishstation,gearcondition,Haul,
nmdbioticv1.4,fishstation,trawlquality,Haul,
nmdbioticv1.4,fishstation,trawlopening,Haul,
nmdbioticv1.4,fishstation,trawlopeningsd,Haul,
nmdbioticv1.4,fishstation,doorspread,Haul,
nmdbioticv1.4,fishstation,doorspreadsd,Haul,
nmdbioticv1.4,fishstation,wirelength,Haul,
nmdbioticv1.4,fishstation,soaktime,Haul,
nmdbioticv1.4,fishstation,tripno,Haul,
nmdbioticv1.4,fishstation,fishabundance,Haul,
nmdbioticv1.4,fishstation,fishdistribution,Haul,
nmdbioticv1.4,fishstation,landingsite,Haul,
nmdbioticv1.4,fishstation,fishingground,Haul,
nmdbioticv1.4,fishstation,countofvessels,Haul,
nmdbioticv1.4,fishstation,dataquality,Haul,
nmdbioticv1.4,fishstation,haulvalidity,Haul,
nmdbioticv1.4,fishstation,flora,Haul,
nmdbioticv1.4,fishstation,vegetationcover,Haul,
nmdbioticv1.4,fishstation,visibility,Haul,
nmdbioticv1.4,fishstation,flowcount,Haul,
nmdbioticv1.4,fishstation,flowconst,Haul,
nmdbioticv1.4,fishstation,waterlevel,Haul,
nmdbioticv1.4,fishstation,winddirection,Haul,
nmdbioticv1.4,fishstation,windspeed,Haul,
nmdbioticv1.4,fishstation,clouds,Haul,
nmdbioticv1.4,fishstation,sea,Haul,
nmdbioticv1.4,fishstation,weather,Haul,
nmdbioticv1.4,fishstation,comment,Haul,
nmdbioticv1.4,catchsample,species,Sample,
nmdbioticv1.4,catchsample,samplenumber,Sample,
nmdbioticv1.4,catchsample,noname,Sample,
nmdbioticv1.4,catchsample,aphia,Sample,
nmdbioticv1.4,catchsample,sampletype,Sample,
nmdbioticv1.4,catchsample,group,Sample,
nmdbioticv1.4,catchsample,conservation,Sample,
nmdbioticv1.4,catchsample,producttype,Sample,
nmdbioticv1.4,catchsample,weight,Sample,
nmdbioticv1.4,catchsample,volume,Sample,
nmdbioticv1.4,catchsample,count,Sample,
nmdbioticv1.4,catchsample,abundancecategory,Sample,
nmdbioticv1.4,catchsample,sampleproducttype,Sample,
nmdbioticv1.4,catchsample,lengthmeasurement,Sample,
nmdbioticv1.4,catchsample,lengthsampleweight,Sample,
nmdbioticv1.4,catchsample,lengthsamplevolume,Sample,
nmdbioticv1.4,catchsample,lengthsamplecount,Sample,
nmdbioticv1.4,catchsample,specimensamplecount,Sample,
nmdbioticv1.4,catchsample,raisingfactor,Sample,
nmdbioticv1.4,catchsample,agingstructure,Sample,
nmdbioticv1.4,catchsample,parasite,Sample,
nmdbioticv1.4,catchsample,stomach,Sample,
nmdbioticv1.4,catchsample,genetics,Sample,
nmdbioticv1.4,catchsample,foreignobject,Sample,
nmdbioticv1.4,catchsample,comment.catchsample,Sample,
